Process 52 | jobs25-8 | result: 1081575 | start-time: 1664357459.3943422 | end-time: 1664357461.4118261 | delta: 2.017483949661255
Process 53 | jobs23-3 | result: 1771 | start-time: 1664357459.3988023 | end-time: 1664357459.399159 | delta: 0.0003566741943359375
Process 53 | jobs17-6 | result: 12376 | start-time: 1664357459.4155674 | end-time: 1664357459.4451835 | delta: 0.029616117477416992
Process 53 | jobs13-5 | result: 1287 | start-time: 1664357459.4754903 | end-time: 1664357459.4757473 | delta: 0.0002570152282714844
Process 53 | jobs17-4 | result: 2380 | start-time: 1664357459.4973469 | end-time: 1664357459.4977946 | delta: 0.0004477500915527344
Process 53 | jobs29-9 | result: 10015005 | start-time: 1664357459.5214474 | end-time: 1664357469.012085 | delta: 9.49063754081726
Process 54 | jobs12-2 | result: 66 | start-time: 1664357459.4734643 | end-time: 1664357459.4734807 | delta: 1.6450881958007812e-05
Process 54 | jobs18-8 | result: 43758 | start-time: 1664357459.490606 | end-time: 1664357459.6595922 | delta: 0.16898608207702637
Process 55 | jobs23-10 | result: 1144066 | start-time: 1664357459.38833 | end-time: 1664357461.831094 | delta: 2.4427640438079834
Process 56 | jobs27-3 | result: 2925 | start-time: 1664357459.4308496 | end-time: 1664357459.4361975 | delta: 0.0053479671478271484
Process 56 | jobs16-3 | result: 560 | start-time: 1664357459.4473386 | end-time: 1664357459.4474487 | delta: 0.00011014938354492188
Process 56 | jobs26-4 | result: 14950 | start-time: 1664357459.4766378 | end-time: 1664357459.4808154 | delta: 0.004177570343017578
Process 56 | jobs22-10 | result: 646646 | start-time: 1664357459.4923375 | end-time: 1664357460.8363395 | delta: 1.3440020084381104
Process 57 | jobs22-7 | result: 170544 | start-time: 1664357459.4435503 | end-time: 1664357459.803991 | delta: 0.360440731048584
Process 58 | jobs29-8 | result: 4292145 | start-time: 1664357459.5106468 | end-time: 1664357465.0244515 | delta: 5.51380467414856
Process 61 | jobs22-4 | result: 7315 | start-time: 1664357459.7015638 | end-time: 1664357459.7029507 | delta: 0.001386880874633789
